Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675632834.2824247,0,77634,0,GPS1_FRAME,42.33701705932617,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
1675632835.2660735,0,77635,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
1675632836.2664287,0,77636,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
1675632837.2645872,0,77637,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
1675632838.2657127,0,77638,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
1675632839.2821162,0,77639,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
1675632840.2652886,0,77640,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
1675632841.2654552,0,77641,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
1675632842.2660275,0,77642,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
1675632843.2658389,0,77643,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
1675632844.2619388,0,77644,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
1675632845.2633572,0,77645,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
1675632846.2637396,0,77646,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
1675632847.2632337,0,77647,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
1675632848.2630086,0,77648,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
1675632849.264182,0,77649,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
1675632850.2628465,0,77650,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
1675632851.263695,0,77651,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
1675632852.2628517,0,77652,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
1675632853.2638063,0,77653,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
1675632854.2617736,0,77654,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
1675632855.263606,0,77655,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
1675632856.2801933,0,77656,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
1675632857.2629645,0,77657,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
1675632858.2635238,0,77658,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
1675632859.2635055,0,77659,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
1675632860.2634606,0,77660,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.34375,0.0,19,T
1675632861.2625308,0,77661,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.34375,0.0,19,T
1675632862.2609713,0,77662,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.34375,0.0,19,T
1675632863.2635436,0,77663,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.34375,0.0,19,T
1675632864.2624815,0,77664,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.46875,0.0,19,T
1675632865.263602,0,77665,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.5,327794.46875,0.0,19,T
1675632866.2615414,0,77666,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
1675632867.262828,0,77667,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
1675632868.264096,0,77668,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
1675632869.2633576,0,77669,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
1675632870.2646472,0,77670,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
1675632871.266004,0,77671,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
1675632872.2640676,0,77672,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
1675632873.2637448,0,77673,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
1675632874.262993,0,77674,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
1675632875.2637308,0,77675,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
1675632876.2644222,0,77676,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
1675632877.263735,0,77677,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
1675632878.2641478,0,77678,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
