time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/05/16:25:26.263439,0,77126,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327819.96875,0.0,19,T
2023/02/05/16:25:27.262057,0,77127,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327819.96875,0.0,19,T
2023/02/05/16:25:28.279159,0,77128,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327819.96875,0.0,19,T
2023/02/05/16:25:29.262148,0,77129,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327819.96875,0.0,19,T
2023/02/05/16:25:30.262358,0,77130,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327819.96875,0.0,19,T
2023/02/05/16:25:31.279021,0,77131,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327819.96875,0.0,19,T
2023/02/05/16:25:32.261736,0,77132,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327820.21875,0.0,19,T
2023/02/05/16:25:33.261836,0,77133,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327820.21875,0.0,19,T
2023/02/05/16:25:34.260857,0,77134,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327820.375,0.0,19,T
2023/02/05/16:25:35.261355,0,77135,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2000000476837158,0.0,4689275.0,327820.375,0.0,19,T
2023/02/05/16:25:36.261396,0,77136,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:37.262898,0,77137,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:38.260828,0,77138,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:39.261916,0,77139,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:40.260462,0,77140,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:41.259851,0,77141,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:42.260503,0,77142,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:43.263953,0,77143,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:44.263352,0,77144,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:45.261824,0,77145,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:46.261977,0,77146,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:47.279712,0,77147,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:48.262452,0,77148,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:49.263116,0,77149,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:25:50.262523,0,77150,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:51.263873,0,77151,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:52.267604,0,77152,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:53.260488,0,77153,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.5,0.0,19,T
2023/02/05/16:25:54.260068,0,77154,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:25:55.261334,0,77155,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:25:56.262751,0,77156,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:25:57.261705,0,77157,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:25:58.262472,0,77158,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2000000476837158,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:25:59.260597,0,77159,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:26:00.260420,0,77160,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:26:01.260008,0,77161,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:26:02.259857,0,77162,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:26:03.260671,0,77163,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:26:04.260221,0,77164,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:26:05.259475,0,77165,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:26:06.259824,0,77166,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
2023/02/05/16:26:07.260674,0,77167,0,GPS1_FRAME,42.33668899536133,-71.09002685546875,1.2999999523162842,0.0,4689275.0,327820.65625,0.0,19,T
