time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/05/16:33:49.265847,0,77629,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.0,327793.6875,0.0,19,T
2023/02/05/16:33:50.265571,0,77630,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.0,327793.6875,0.0,19,T
2023/02/05/16:33:51.264338,0,77631,0,GPS1_FRAME,42.33701705932617,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
2023/02/05/16:33:52.264750,0,77632,0,GPS1_FRAME,42.33701705932617,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
2023/02/05/16:33:53.264949,0,77633,0,GPS1_FRAME,42.33701705932617,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
2023/02/05/16:33:54.282425,0,77634,0,GPS1_FRAME,42.33701705932617,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
2023/02/05/16:33:55.266073,0,77635,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
2023/02/05/16:33:56.266429,0,77636,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
2023/02/05/16:33:57.264587,0,77637,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
2023/02/05/16:33:58.265713,0,77638,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
2023/02/05/16:33:59.282116,0,77639,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
2023/02/05/16:34:00.265289,0,77640,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
2023/02/05/16:34:01.265455,0,77641,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
2023/02/05/16:34:02.266027,0,77642,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
2023/02/05/16:34:03.265839,0,77643,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
2023/02/05/16:34:04.261939,0,77644,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
2023/02/05/16:34:05.263357,0,77645,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327793.9375,0.0,19,T
2023/02/05/16:34:06.263740,0,77646,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
2023/02/05/16:34:07.263234,0,77647,0,GPS1_FRAME,42.337013244628906,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
2023/02/05/16:34:08.263009,0,77648,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
2023/02/05/16:34:09.264182,0,77649,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
2023/02/05/16:34:10.262846,0,77650,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
2023/02/05/16:34:11.263695,0,77651,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
2023/02/05/16:34:12.262852,0,77652,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.0625,0.0,19,T
2023/02/05/16:34:13.263806,0,77653,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
2023/02/05/16:34:14.261774,0,77654,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
2023/02/05/16:34:15.263606,0,77655,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
2023/02/05/16:34:16.280193,0,77656,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
2023/02/05/16:34:17.262964,0,77657,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
2023/02/05/16:34:18.263524,0,77658,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
2023/02/05/16:34:19.263505,0,77659,0,GPS1_FRAME,42.33700942993164,-71.09036254882812,1.5,0.0,4689311.5,327794.21875,0.0,19,T
2023/02/05/16:34:20.263461,0,77660,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.34375,0.0,19,T
2023/02/05/16:34:21.262531,0,77661,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.34375,0.0,19,T
2023/02/05/16:34:22.260971,0,77662,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.34375,0.0,19,T
2023/02/05/16:34:23.263544,0,77663,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.34375,0.0,19,T
2023/02/05/16:34:24.262481,0,77664,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.5,327794.46875,0.0,19,T
2023/02/05/16:34:25.263602,0,77665,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.5,327794.46875,0.0,19,T
2023/02/05/16:34:26.261541,0,77666,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:27.262828,0,77667,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:28.264096,0,77668,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:29.263358,0,77669,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:30.264647,0,77670,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:31.266004,0,77671,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:32.264068,0,77672,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.5,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:33.263745,0,77673,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:34.262993,0,77674,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:35.263731,0,77675,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
2023/02/05/16:34:36.264422,0,77676,0,GPS1_FRAME,42.33700942993164,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.46875,0.0,19,T
